SR_NUMBER,SERVICE_ACTIVITY,RNSN,QUANTITY_REQUIRED,PARTS_CHARGE,DOCUMENT_NUMBER
sr_number_8sFzFCVNqv4xvMkqpQtU,Issue from Inventory,rnsn_gz_ufhlmq66WS-ZtaxW9,2.0,4.89,null
sr_number_obU_lb7_18YmnX-E4Q_h,Issue from Inventory,rnsn_QQkORU1kis0N8gaOf0mb,1.0,143.56,null
sr_number_obU_lb7_18YmnX-E4Q_h,Issue from Inventory,rnsn_xQ_QwM97FfuGDgej_U5v,1.0,403.96,null
sr_number_obU_lb7_18YmnX-E4Q_h,Issue from Inventory,rnsn_OynO-vqz4_REDZjMYKAm,1.0,87.62,null
sr_number_obU_lb7_18YmnX-E4Q_h,Issue from Inventory,rnsn_7UO7aX1kQ-2C30LqRJOc,1.0,108.18,null
sr_number_obU_lb7_18YmnX-E4Q_h,Issue from Inventory,rnsn_Hga3Q3OoCQqGuHiP-6bs,1.0,8.43,null
sr_number_obU_lb7_18YmnX-E4Q_h,Issue from Inventory,rnsn_yNHxU2a9_eEM8xy00Wnv,1.0,13.82,null
sr_number_obU_lb7_18YmnX-E4Q_h,Issue from Inventory,rnsn_yNHxU2a9_eEM8xy00Wnv,1.0,13.82,null
sr_number_WxaYJAjvtHgBtGGQmh88,Issue from Inventory,rnsn_8710URqORsqxUKOa3exz,2.0,394.92,null
sr_number_WxaYJAjvtHgBtGGQmh88,Issue from Inventory,rnsn_8WlpCqupESt5tNt23QCU,2.0,457.08,null
sr_number_1yXWmQRpWZkWj9k9HNMF,Issue from Inventory,rnsn_JyC672DC_9PxZ74tqbmM,4.0,1977.0,null
sr_number_gwtJJgsZm7m9CHdd_KGt,Issue from Inventory,rnsn_FQ0f8R81eNkoXd5ahKyC,1.0,116.49,null
sr_number_gwtJJgsZm7m9CHdd_KGt,Issue from Inventory,rnsn_Q3ssh0s4fEtNqtxwEpDl,1.0,107.84,null
sr_number_0II06EYx2gyBHeME7QGl,Return to Inventory,rnsn_eSdoWgDtXT1P_OM_kO4M,1.0,43270.0,null
sr_number_tFM6kg9npLaDrV9qQfie,SECREP Exchange,rnsn_bA4t1LpqJh9LiPYLMY8Z,1.0,52852.55,document_number_HqG1AKdy9F8oZ800w2_U
sr_number_5gQCu1ta-5IziNnoJLzn,SECREP Exchange,rnsn_Mm53Sn3F7Yb68UImMOYy,1.0,70390.3,document_number_2092v9zUTtqkKcbwjx5q
sr_number_5gQCu1ta-5IziNnoJLzn,SECREP Exchange,rnsn_sXOy3u5HwhkW2MCNO-cX,1.0,74625.54,document_number_CtMyoumpVkwGSFek1vAd
sr_number_OK0zI7znmVIPCvMrWakP,Issue from Inventory,rnsn_Nl_HWOJ_kTUlzDLiWMxV,1.0,152.74,null
sr_number_A6EXUrr0jEjEgF87_oJT,Issue from Inventory,rnsn_x614ujFPlKUkRxMGYy9Z,1.0,29.7,null
sr_number_rV07AMoRDblDIuZQWZ00,Issue from Inventory,rnsn_3LRiMrS_7HkXhAsH3LXC,1.0,119.71,null
sr_number_rV07AMoRDblDIuZQWZ00,Issue from Inventory,rnsn_8j8OLRbSgOzRKP6Fmk7n,1.0,235.16,null
sr_number_eop_0oxHHMPPPa5oxljr,SECREP Exchange,rnsn_wYV271mKIG1SwKgHYqcJ,1.0,1859.79,document_number_q-76dxWieFYm6LrNT2ZY
sr_number_lLi8dWSkn3mCqWclwugK,Issue from Inventory,rnsn_wuETxB6vzN5mYt2nCHlc,2.0,300.28,null
sr_number_1jg6mqMkkzNU0DbpfekI,Issue from Inventory,rnsn_j8iCP9bq11hGtTxT5QS7,1.0,136.82,null
sr_number_1jg6mqMkkzNU0DbpfekI,Issue from Inventory,rnsn_h7W4K_lXF_IfyxYNG-Z8,1.0,98.8,null
sr_number_1jg6mqMkkzNU0DbpfekI,Issue from Inventory,rnsn_zXqsIRcFyzvSJ6AMqj_K,1.0,0.45,null
sr_number_1jg6mqMkkzNU0DbpfekI,Issue from Inventory,rnsn_HMPVF9Bcd8WHK0bDQpRe,1.0,10.93,null
sr_number_i9PbhmPVVz196mx-m6Ez,Issue from Inventory,rnsn_IDFaMJm0loia65Ll0em5,1.0,9.12,null
sr_number_UokBU2vWLmHSwjyAVqFx,Issue from Inventory,rnsn_7wJRm8CRIzpyGuA3cGb9,1.0,110.01,null
sr_number_Sc-v6h_Y0U11B_ekfi80,Issue from Inventory,rnsn_7wJRm8CRIzpyGuA3cGb9,1.0,110.01,null
sr_number_hXDxl92U5JXAfNkG36fW,Issue from Inventory,rnsn_CLi9eJUYyshlmfJxdMCu,2.0,553.41,null
sr_number_Z7vnR0r4S6M3r8pFBcfr,Issue from Inventory,rnsn_vf5uzhIJK4G4s3QYQ4ZO,1.0,3791.39,null
sr_number_Z7vnR0r4S6M3r8pFBcfr,Issue from Inventory,rnsn_k32Zc725zjL_vA6dx5mN,1.0,2046.74,null
sr_number_Z7vnR0r4S6M3r8pFBcfr,Issue from Inventory,rnsn_gB6K6gNzjBBwXpLE48Jo,1.0,110.25,null
sr_number_A3ZJXainVSzjNcqYefta,null,rnsn_xRkCXWLj5i-_aQzkqkA0,1.0,null,document_number_x63RZgb9vyt_XMmVSXMh
sr_number_obU_lb7_18YmnX-E4Q_h,null,rnsn_QQkORU1kis0N8gaOf0mb,1.0,null,document_number_-BAUWqLvmdH34oPQoC2Y
sr_number_obU_lb7_18YmnX-E4Q_h,null,rnsn_xQ_QwM97FfuGDgej_U5v,1.0,null,document_number_C3a1xcA581i86wauPOc6
sr_number_pDrl7gcvb_R7qBq1v0T6,Issue from Inventory,rnsn_9qvyC6gaI8ti_4UOdNiZ,1.0,30903.0,null
sr_number_xfPiL2fFg9sj3ZDR7Mhe,Issue from Inventory,rnsn_728ztLsMUVUgYDb4QpBQ,1.0,185.0,null
sr_number_fFDHZwbzwq_TCXKgVulz,Issue from Inventory,rnsn_v0rJ6W6Unx3npuiuyQjA,1.0,4.38,null
sr_number_fFDHZwbzwq_TCXKgVulz,Issue from Inventory,rnsn_VnlsuayrFjYOSRi2JJl4,1.0,6.1,null
sr_number_fFDHZwbzwq_TCXKgVulz,Issue from Inventory,rnsn_Q_Ltv1xpD15iw5PgCyyk,1.0,9.9,null
sr_number_fFDHZwbzwq_TCXKgVulz,Issue from Inventory,rnsn_qnyI_SuwloBPU4S-_boq,1.0,2.08,null
sr_number_fFDHZwbzwq_TCXKgVulz,Issue from Inventory,rnsn_QWY6EmnhJeBBch17QEC9,1.0,3.68,null
sr_number_aYmVkFBI72p6hTzA1sFf,Issue from Inventory,rnsn_vf5uzhIJK4G4s3QYQ4ZO,1.0,3791.39,null
sr_number__2oj5CSUSL4s67Y0nArO,Issue from Inventory,rnsn_9utuZCGQuVCXeBeqVl2j,2.0,13.37,null
sr_number_HN-Zt5i2BYMPK4CMt9uc,Issue from Inventory,rnsn_wYV271mKIG1SwKgHYqcJ,1.0,1859.79,null
sr_number_HN-Zt5i2BYMPK4CMt9uc,Return to Inventory,rnsn_wYV271mKIG1SwKgHYqcJ,1.0,1859.79,null
sr_number_HN-Zt5i2BYMPK4CMt9uc,SECREP Exchange,rnsn_wYV271mKIG1SwKgHYqcJ,1.0,1859.79,document_number_DrsGYPVGXMu9dYhfvbto
sr_number_HN-Zt5i2BYMPK4CMt9uc,SECREP Exchange,rnsn_wYV271mKIG1SwKgHYqcJ,1.0,1859.79,document_number_ZIf7Vwd19HfV4fb2wDX_
sr_number_wE1wbCwc7EaYxjg1mrf-,Issue from Inventory,rnsn_xDwYWj2kPlyEgfzwoya3,1.0,47.41,null
sr_number_B_RHS0u0em7Sr0foL60h,Issue from Inventory,rnsn_WixmQF_Qe1E4Db-ywoJI,8.0,661.22,null
sr_number_OEO9u-0E4lVvqZriGSlE,SECREP Exchange,rnsn_LDUaO9wUkw7QjSyUBYkX,1.0,11022.4,document_number_xPqkTzvLxbNoUsJVCOdf
sr_number_g08G0BO5T5a5NkECPOlz,Issue from Inventory,rnsn_05gIQKYCyPDlKTDPPwtQ,1.0,12.85,null
sr_number_nCn8RjEU6WmYtxDgDtvP,null,rnsn_sfqdMA_IjS6V33x2-0Ld,1.0,null,document_number_gRXEQsd_8Np5UMxOtHCY
sr_number_nCn8RjEU6WmYtxDgDtvP,null,rnsn__cpaGXO5XYYFW_G_TWqD,1.0,null,document_number_IG4jbbgGmXHDOYflFk0O
sr_number_nCn8RjEU6WmYtxDgDtvP,null,rnsn_HMdaj-OnwzwUKuvHlTYt,1.0,null,document_number_h0DMN96VLeEknDPytdtr
sr_number_CTXk2hOohQNfc4v5RQzd,Issue from Inventory,rnsn_AEcc8NdMNQrHSIaLXQfH,1.0,73.48,null
sr_number_XOlZCCJTKTDDYvrYlozL,Issue from Inventory,rnsn_8WlpCqupESt5tNt23QCU,2.0,457.08,null
sr_number_IvZ87hAlRjwDvBspuCZC,Issue from Inventory,rnsn_MRVrkOcUV6ioDoHQIrzW,1.0,81.11,null
sr_number_WUzTK_Mz7vAkNbpXGKBq,Issue from Inventory,rnsn_MQzyfUjnPMf-pJU38E6-,1.0,32278.0,null
sr_number_WUzTK_Mz7vAkNbpXGKBq,SECREP Exchange,rnsn_MQzyfUjnPMf-pJU38E6-,1.0,32278.0,document_number_a3Xt2HPOnZ652oebSe7j
sr_number_sN91i-h5MyyiDeTovn7S,Issue from Inventory,rnsn_sF5RdFrd4y0IBIdSMeXq,1.0,1.89,null
sr_number_uhjZvxzEvDkYloy0rpmU,Issue from Inventory,rnsn_aMi8ToE21wF_okrXCy50,1.0,717.72,null
sr_number_yxsgG5M1q3sP5ikeogbV,Issue from Inventory,rnsn_2QQpGLtE1LxzNvjdHhco,1.0,10.79,null
sr_number_xIjaw0T5yz4lcXuGA1NG,null,rnsn_8WlpCqupESt5tNt23QCU,2.0,null,document_number_npNOfg8higsp3WvER1f0
sr_number_sN91i-h5MyyiDeTovn7S,Issue from Inventory,rnsn_CPy-gZltZDKd0vmcfRXS,1.0,75.68,null
sr_number_sN91i-h5MyyiDeTovn7S,Issue from Inventory,rnsn_Ha4k1_pnwhpTE6a8OSmP,1.0,12.79,null
sr_number_sN91i-h5MyyiDeTovn7S,Issue from Inventory,rnsn_53P6pgqSyckxTnPZP_qd,1.0,48.84,null
sr_number_Fu5_EEJj9ppJDq-YNiCC,Issue from Inventory,rnsn_PpSy8X46OfUBZW7h-5sr,1.0,29455.0,null
sr_number_qx167lzKA3LVrFOJze5I,Issue from Inventory,rnsn_bYcYCDp3XfEBkctGZ_bx,1.0,131.0,null
sr_number_gbjtbE_laVZhzU1o97BI,Issue from Inventory,rnsn_z1kuyh6C46fgv-9Ev0NA,1.0,37265.26,null
sr_number_O5eJsBTs2CldIrSsiKHD,Issue from Inventory,rnsn_VMpDHoq69zhYh2Yv75t2,1.0,3976.62,null
sr_number_O5eJsBTs2CldIrSsiKHD,Issue from Inventory,rnsn_b8y0aEwUkdQM5_Exhr2f,1.0,26.13,null
sr_number_iBC6dXJieuQynrNWl34_,null,rnsn_pxLCey7DQNjLawNLAZAL,2.0,null,document_number_N_wq6EsuWy4AUQH6Mbth
sr_number_zBP9gtwhomop3cQL-TFF,Issue from Inventory,rnsn_le6nDN_DipOOs1D0TwM7,1.0,33.73,null
sr_number_lDC1HR88SQIrgxtcGqHc,Issue from Inventory,rnsn_le6nDN_DipOOs1D0TwM7,1.0,33.73,null
sr_number_WcTjnhvRhkmYK0VYrbt8,Issue from Inventory,rnsn_1z1dx_dsKXLpho0XOLGY,1.0,26.54,null
sr_number_WcTjnhvRhkmYK0VYrbt8,Issue from Inventory,rnsn_jnlH9n10NRElEH4GpVaa,1.0,1.91,null
sr_number_82mZHIvxzQphvjwmLKPs,Issue from Inventory,rnsn_4Zudp5RllydlBpR-SfTY,4.0,1949.0,null
sr_number_82mZHIvxzQphvjwmLKPs,Issue from Inventory,rnsn_aJIeSNGU6D7GsC3Ix6cy,1.0,927.0,null
sr_number_82mZHIvxzQphvjwmLKPs,Issue from Inventory,rnsn_tNYzj1lyzOzgUKdWO-Ws,5.0,1.78,null
sr_number_82mZHIvxzQphvjwmLKPs,Issue from Inventory,rnsn_hwtM76HNC__tGpp1f_9m,1.0,0.24,null
sr_number_k58E-L3VG_fA9A1F0Fwl,null,rnsn_3zZfbl5l1q_WE7O-cPMP,1.0,null,document_number_iErI0EFCQQPFvrx7JrWT
sr_number_cnotqpk5w7dbrGt4dnSz,null,rnsn_OBZrtuIx1dB8GmRlEp93,1.0,null,document_number_HZFCYA8icyzZFk0i1TTg
sr_number_8BGog-iuzAjGpGw6hN6H,Issue from Inventory,rnsn_7wJRm8CRIzpyGuA3cGb9,1.0,110.01,null
sr_number_3zRrEuvhOS5NkytS_efg,Issue from Inventory,rnsn_7wJRm8CRIzpyGuA3cGb9,1.0,110.01,null
sr_number_5JEJbYMgHZbuaPV74GH8,null,rnsn_QoQvGTbDph1H2IAMv8iO,1.0,null,document_number_RDuxCkIrNEINPbsfWAPv
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_Xj55U2Kz7n4pLp-BYM4_,1.0,null,document_number_VuslMVf7iGQDq1cYey5N
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_edh2PHZVDevFu6gc76zv,1.0,null,document_number_oKzT5lU6FeKctZAVB2fO
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_J-TyyqY6ERCUFC284U4H,1.0,null,document_number_HvRm1gKgRkixBnBwp5O_
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_CSV2hHbitKYcYM2EyyOg,1.0,null,document_number_UYlCr5twWhhBT1cH1Bnn
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_MxXWwP_7Ka_OZvmSqiTS,1.0,null,document_number_fbcqAS8A5GToQ25i-c3J
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_z2SJM-YbvJI8AV84IBzn,1.0,null,document_number_B_XGpjjdy7BEDAFuKLbf
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_oI5tQh9tbw89ye4vV7GV,2.0,null,document_number_TnirjKpfB7B3_SD4jbRh
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_BQ2OJM4-njuH-ZTiCuVJ,1.0,null,document_number_KbZXxSOjXHvQXosoezh8
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_QngzQF4m4-2WlIL8zhq0,3.0,null,document_number_GGGBL_lz6xCt03BDrIHN
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_rywwPVL-TuD2s4v3OyNw,1.0,null,document_number_2DKtwGBCtV2XKDQSDObt
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_093QThQZPzdAdxtUKicx,1.0,null,document_number_eNn39llr-N_y7BcZes-P
sr_number_uAOV8n6Q7q8l-P60A-A6,null,rnsn_7maP8OPHFj-CYpRtOJTh,1.0,null,document_number_-D6WylbqSbIJEeISCz3V
sr_number_APRuBFxkvOVSSOxXFRB2,Issue from Inventory,rnsn__gypXtg62-yljcnhNWAl,1.0,340.63,null
sr_number_syp-FeIxg6Gv44Mk6Ncq,null,rnsn_MMRmJ4HcZs15SnO7n8yM,1.0,null,document_number_kDUFoh7HBm_67ZJgy5YV
sr_number_syp-FeIxg6Gv44Mk6Ncq,null,rnsn_eN74phQ6dCZlx4IrchnT,1.0,null,document_number_1OtnC5-9gTf0ZsaJPwCf
sr_number_syp-FeIxg6Gv44Mk6Ncq,null,rnsn_n5IP5GAPOdG_3PDWLPfF,1.0,null,document_number_19ChwT1IPzXkR3Ha_uA6
sr_number_syp-FeIxg6Gv44Mk6Ncq,null,rnsn_6uRsuPioVd2mCvBDpUYo,1.0,null,document_number_5rNHS3s_gKUQjDnzOIX9
sr_number_BtbrZFmI2stTNNMymj0H,null,rnsn_2AIZwrcMohAoSHHgLjX-,1.0,null,document_number_AdERsvnQ_v-oThLOySgJ
sr_number_Fw5DswFZ1p3wLPsGQBtp,Issue from Inventory,rnsn_MRVrkOcUV6ioDoHQIrzW,1.0,81.11,null
sr_number_Fw5DswFZ1p3wLPsGQBtp,Issue from Inventory,rnsn_GORelSQiIbVXirR_PNEo,1.0,5.39,null
sr_number_Fw5DswFZ1p3wLPsGQBtp,Issue from Inventory,rnsn_Ulg_V9VizlmzuH9ys5nR,1.0,0.02,null
sr_number_AsfV8epRHHKxuXhkEeJy,Issue from Inventory,rnsn_MRVrkOcUV6ioDoHQIrzW,1.0,81.11,null
sr_number_AsfV8epRHHKxuXhkEeJy,Issue from Inventory,rnsn_Ulg_V9VizlmzuH9ys5nR,1.0,0.02,null
sr_number_vMZdSIeHrqyRIGZfijEk,Issue from Inventory,rnsn_jgHFakWEBcROkaM5IJ7f,1.0,2246.29,null
sr_number_vMZdSIeHrqyRIGZfijEk,Issue from Inventory,rnsn_PNPP561ca80JJZX_D_F3,1.0,2.19,null
sr_number_qGkoPHM2REXjDRKDn7op,Issue from Inventory,rnsn_jgHFakWEBcROkaM5IJ7f,1.0,2246.29,null
sr_number_qGkoPHM2REXjDRKDn7op,Issue from Inventory,rnsn_PNPP561ca80JJZX_D_F3,1.0,2.19,null
sr_number_OwFjbEgqD4VMJDZ7xFfg,Issue from Inventory,rnsn_eM3y_ncduhXdic_Vagat,1.0,157.94,null
sr_number_jGnx4xTLKMgDqICvEBoa,null,rnsn_pxLCey7DQNjLawNLAZAL,2.0,null,document_number_uxg70e4SfFjm7RiHluG-
sr_number_aS7KVqnOaT9tKW80VHUr,null,rnsn_XhCJ3AHbS5v-Qz_7L2Wy,1.0,null,document_number_cBwwORVVLhU3XjGEGNEp
sr_number_FHNFdVrYQFGqvAR_1ZJF,Issue from Inventory,rnsn_AS0jkGqQraUomOS8Nlt_,4.0,0.57,null
sr_number_v0QfKCl07uYePqS7w92Q,null,rnsn_mckEh_gCfE6C-tMd2Gon,1.0,null,document_number_sht8SK5cNTulXKpg7x6n
sr_number_v0QfKCl07uYePqS7w92Q,null,rnsn_rlXDbtWYEK0RLHTP_Y4A,1.0,null,document_number_T35MTUtl9av97HcxbxdJ
sr_number_v0QfKCl07uYePqS7w92Q,null,rnsn_g003SUULGweaDvIe6Av4,1.0,null,document_number_6uasisxCfbovrfFxvayB
sr_number_v0QfKCl07uYePqS7w92Q,null,rnsn_jk4sGOtkqc3XpqmAs8gI,1.0,null,document_number_-pGnHvIZbx4G8aOECQCo
sr_number_v0QfKCl07uYePqS7w92Q,null,rnsn_0Isr2whDpPBHilY10Y3w,1.0,null,document_number_fRqlCSXqUBgJ-6Nku0GC
sr_number_xeDbJsuEVVEoxUM-QIPW,Issue from Inventory,rnsn_ebFTD3iOTsdc-p3zYY6q,1.0,21337.89,null
sr_number_xeDbJsuEVVEoxUM-QIPW,Issue from Inventory,rnsn_ebFTD3iOTsdc-p3zYY6q,1.0,21337.89,null
sr_number_B-NzNUv71fkSxRvoZq4b,Issue from Inventory,rnsn_dF65T_ABrs8fS81x1W4C,1.0,72.93,null
sr_number_B-NzNUv71fkSxRvoZq4b,Issue from Inventory,rnsn_MuSyIofEHNl5xwZ3q7Q6,1.0,3.38,null
sr_number_B-NzNUv71fkSxRvoZq4b,Issue from Inventory,rnsn_jtYISAWX5srFYPnpH0qi,1.0,117.98,null
sr_number_mbSyMIAweFDOlH0MOBlx,Issue from Inventory,rnsn_zYt8qbjxgdKQFZiibLv0,1.0,4.22,null
sr_number_mbSyMIAweFDOlH0MOBlx,Issue from Inventory,rnsn_F4S2ep1C0Fr6cqtP-ql2,1.0,63.71,null
sr_number_mbSyMIAweFDOlH0MOBlx,Issue from Inventory,rnsn_aGNQLRtKAmkiQ0fkZciS,7.0,8.41,null
sr_number_mbSyMIAweFDOlH0MOBlx,Issue from Inventory,rnsn_uaM6EASsHsKIIzU-GRoc,1.0,4.55,null
sr_number_HrsqYjSODYrwZ2dlbW3J,null,rnsn_V0fQc9FnoulzOD1_ZmSS,1.0,null,document_number_yKL92jhqn8D38xOgOEIK
sr_number_Li4Z8_jdDHoWkx6op8w5,null,rnsn_OD6D-2VHgDcPGuPrHDM4,2.0,null,document_number_T9LGDkw6uRNqGMXE0gUP
sr_number_OsPP3yHunAzL_EUhQge_,null,rnsn_1xymvuP87209MRuLC-GU,1.0,null,document_number_q1e9UmIXea-pWTWaW7Q2
sr_number_4GhcYU7ojOQLmj5t0QJT,null,rnsn_EHmfGVRYWCJlYhg-FKWU,1.0,null,document_number_j4PIF0ovq9pUmGkOG6fI
sr_number_IS4DcZFK34ImAu6kOM2Z,null,rnsn_vZSr4ZjhSYrC2ZV2RFaz,1.0,null,document_number_2ZHu36e97L5UvlZRxnq-
sr_number_IUgOty0S3CvD_0LBCWuS,Issue from Inventory,rnsn_CjbYt7NmFY-JLZn9pGrA,1.0,13606.0,null
sr_number_dY4RrPD72WNCqjfz27_i,null,rnsn_hXJsUJ0QifwUo3DGAeeT,2.0,null,document_number_eA7Zr-sBskNBa-lBSqeH
sr_number_hn6-MxpaAMCijNtBR0P_,Issue from Inventory,rnsn_oQDnDQ8qRz8OnmVdHVk7,1.0,390.74,null
sr_number_XrciRJmInvezSTEQtTLX,Issue from Inventory,rnsn_xQ_QwM97FfuGDgej_U5v,1.0,403.96,null
sr_number_RRfaazbnWQfr2DDGXjsq,SECREP Exchange,rnsn_SZZbywrlrrCHg1PvS7Bs,1.0,13853.63,document_number_sHZKOL8z51fPkUG3-O5l
sr_number_RRfaazbnWQfr2DDGXjsq,SECREP Exchange,rnsn_SZZbywrlrrCHg1PvS7Bs,1.0,13853.63,document_number_oPOwsERDJfgSucBEFleB
sr_number_5SfzCH3jAeL1utCpKFco,Issue from Inventory,rnsn_kyvqFKkbg3c3UeZYhiGt,1.0,994.32,null
sr_number_ueOidtjg7juafTcuBl2B,Issue from Inventory,rnsn_DONPLjM187R1AqlZ66Di,1.0,15.32,null
sr_number_fYJIgFMdlCsPsCrhtPmN,null,rnsn_NqeP3WtKfazZ8OckEi4o,1.0,null,document_number_6hpQyYRXdPAdkBcZA9gi
sr_number_SZzPU9gmKHZITu0WEoJ2,Issue from Inventory,rnsn_GyjfO4qjMcg9g0wbSJBI,1.0,118.44,null
sr_number_9qTjT5LVmn51K3gbiOI3,Issue from Inventory,rnsn_7wJRm8CRIzpyGuA3cGb9,1.0,110.01,null
sr_number__O65LqqL3SQawAPxo3jX,Issue from Inventory,rnsn_wP3icmpKjtSDVHuLOVib,1.0,43.66,null
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_OynO-vqz4_REDZjMYKAm,1.0,null,document_number_a-pCzZd5RQlY4vpbGsqa
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_7UO7aX1kQ-2C30LqRJOc,1.0,null,document_number_ptn425bYAkln3LGtgF9g
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_2hQm5pRLXTD1VvtU5o4z,1.0,null,document_number_domgw7DKA5qkWbiuhGX3
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_wkgQDdVfTP6cmK2IwX_b,1.0,null,document_number_HYAfrQKoGbdFyUGI646v
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_RvopTFIrqqaTG-_ua0dz,1.0,null,document_number_m-kOhi8CUQAW1vfMatFj
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_z-capkIvjT6qjUUQKq1-,1.0,null,document_number_cDxnAoX2DnskmgyjFl_k
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_ySVaY4wqt1ET7VCkPvY2,1.0,null,document_number_4RMlYZV2qZJeAZWXxbHF
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_p_ZeMIiFDC9llvkiuYrf,1.0,null,document_number_os3f6XYWzxhCqjFgzAWL
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_z2MGyCEeJWG3EdLubtY4,1.0,null,document_number_5XF6jAWjgDRFOmHsNw6K
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_LHNaj83iPeXdWoaFBeyW,2.0,null,document_number_L81-fxrTN7CM9Btx6Bky
sr_number_WMMW-G-eQPKCndTjIMHl,null,rnsn_-c7Bg9gOekYdMSWR5yOG,1.0,null,document_number_CWXSvnOVv_O4cY6P1szx
sr_number_FWk5m4eMrZPUTvMi35E-,Issue from Inventory,rnsn_AnucQ0ZrIZ263QdJc9lZ,1.0,657.73,null
sr_number_g08G0BO5T5a5NkECPOlz,Issue from Inventory,rnsn_H4ncKu0_Uj2I7auRlQay,2.0,0.07,null
sr_number_g08G0BO5T5a5NkECPOlz,Issue from Inventory,rnsn_zeb0pqA4JjgastGoYuqU,1.0,1.81,null
sr_number_g08G0BO5T5a5NkECPOlz,Issue from Inventory,rnsn_4Q9POu_Trlsuy5oMfqXO,2.0,0.03,null
sr_number_g08G0BO5T5a5NkECPOlz,Issue from Inventory,rnsn_hraRWJFj7uhbT4QcRSMU,2.0,1.18,null
sr_number_g08G0BO5T5a5NkECPOlz,Issue from Inventory,rnsn_jzHbeL4qHllA556ZVoTI,1.0,3.02,null
sr_number_Fo9B9d48eJVUyB3XDqDA,Issue to Inventory,rnsn_NmEQ9lnrn1Uo85ehHZGo,1.0,20.66,null
sr_number_4IwrnMJicA1sWT02AHJw,null,rnsn_3svdkVla2IgcOLwmiOFl,1.0,null,document_number_DI6K4qG8Uc7-Dw7xCaGH
sr_number_4IwrnMJicA1sWT02AHJw,null,rnsn_27U-qyDUFYWIBCtIDmle,1.0,null,document_number_IYopgyfUk0Y2mgezUGjK
sr_number_4IwrnMJicA1sWT02AHJw,null,rnsn_c9n4RgVBGsmO5fWhCCZe,1.0,null,document_number_wRwIXFWafLitPHgj1T3a
sr_number_944cr0_DP7wCDtE4-6W9,Issue from Inventory,rnsn_CjbYt7NmFY-JLZn9pGrA,1.0,13606.0,null
sr_number_944cr0_DP7wCDtE4-6W9,SECREP Exchange,rnsn_CjbYt7NmFY-JLZn9pGrA,1.0,13606.0,document_number_GAaZzshmQHS2fnZqQ0Ot
sr_number_4GhcYU7ojOQLmj5t0QJT,SECREP Exchange,rnsn_sXOy3u5HwhkW2MCNO-cX,1.0,74625.54,document_number_FRbLdoNFQ07SANdIFuQk
sr_number_dAdtE5rW84iuw-Zv5waQ,null,rnsn_wuETxB6vzN5mYt2nCHlc,2.0,null,document_number_25GFDI1wqw98m7YJwHGC
sr_number_thhhnYS2nScSza2svOAO,Issue from Inventory,rnsn_bY32uvFi-3psGgFmYEJE,1.0,451.66,null
sr_number_thhhnYS2nScSza2svOAO,Issue from Inventory,rnsn_j97j0mN8KrDkMDJCVeqn,2.0,93.38,null
sr_number_thhhnYS2nScSza2svOAO,Issue from Inventory,rnsn_Ha4k1_pnwhpTE6a8OSmP,1.0,12.79,null
sr_number_thhhnYS2nScSza2svOAO,Issue from Inventory,rnsn_qoC2Gi9sCTC_a71KLAfr,1.0,4.73,null
sr_number_thhhnYS2nScSza2svOAO,Issue from Inventory,rnsn_xpNnSt6wFO4-MxvImCNu,1.0,5175.32,null
sr_number_HAunOAfqdEWKHW9lrDFd,Issue from Inventory,rnsn_0vl_nmXAljl6O1TXrxab,1.0,22.02,null
sr_number_HAunOAfqdEWKHW9lrDFd,Issue from Inventory,rnsn_z8_LyFpBrU5tAIHRDQhr,2.0,176.47,null
sr_number_pRQOjyqBnvBVd3G_72om,Issue from Inventory,rnsn_U5CKvdtdeSRVFQ21DHUG,1.0,228.6,null
sr_number_pRQOjyqBnvBVd3G_72om,Issue from Inventory,rnsn_N46ZVtgnzPp33l0lwf02,1.0,5.64,null
sr_number_pRQOjyqBnvBVd3G_72om,Issue from Inventory,rnsn__SCfgvqoB_tSOEYDohKk,1.0,118.13,null
sr_number_vVWA79C8cL_V03fTR4vn,Issue from Inventory,rnsn_2UWQkxVjVYRsSf9BZLu5,1.0,4.24,null
